_id,BlockID,CheckweigherResultAvg,DateCreate,OriginCheckpointID,ProductComposite,ProductID,Size,Style,Content
11711059,102LMLI,35.06666692097982,2022-12-26 16:47:42.795,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11714051,102LMLI,36.750000953674316,2022-12-26 16:47:44.961,22.0,p34::s75::kPLACE,34,75,PLACE,
11714018,102LMLI,38.76666768391927,2022-12-26 16:47:47.464,,p32::cBAGS,32,,,BAGS
11711060,102LMLI,35.10000133514404,2022-12-26 16:48:04.429,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727071,102LMLI,43.84000091552734,2022-12-26 16:48:52.848,22.0,p34::s75::kPLACE,34,75,PLACE,
11727083,102LMLI,38.05000114440918,2022-12-26 16:49:06.630,19.0,p34::s75::kPLACE,34,75,PLACE,
11727099,102LMLI,36.6000010172526,2022-12-26 16:52:29.430,,p34,34,,,
11711061,102LMLI,35.05000114440918,2022-12-26 16:53:06.890,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727084,102LMLI,38.283334732055664,2022-12-26 16:53:09.611,19.0,p34::s75::kPLACE::cBAGS,34,75,PLACE,BAGS
11711024,102LMLI,35.39999961853027,2022-12-26 16:53:10.469,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11714029,102LMLI,38.25999984741211,2022-12-26 16:53:12.935,26.0,p32::s115::cBAGS,32,115,,BAGS
11714054,102LMLI,40.82000045776367,2022-12-26 16:53:13.886,,p34,34,,,
11711074,102LMLI,35.36000061035156,2022-12-26 16:53:15.807,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711073,102LMLI,35.300000508626304,2022-12-26 16:53:16.918,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711072,102LMLI,37.26666768391927,2022-12-26 16:53:18.030,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711071,102LMLI,35.20000076293945,2022-12-26 16:53:19.145,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711070,102LMLI,35.32500076293945,2022-12-26 16:53:20.243,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711106,102LMLI,35.500000953674316,2022-12-26 16:53:21.317,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11714034,102LMLI,37.32857186453683,2022-12-26 16:53:25.602,23.0,p32::s75::cBAGS,32,75,,BAGS
11727100,102LMLI,38.68000106811523,2022-12-26 16:53:26.389,,p34,34,,,
11711107,102LMLI,34.82500076293945,2022-12-26 16:53:35.974,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711035,102LMLI,35.16000137329102,2022-12-26 16:53:38.314,70.0,p36::s115::cBAGS,36,115,,BAGS
11711108,102LMLI,34.90000025431315,2022-12-26 16:53:40.933,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711109,102LMLI,34.97500133514404,2022-12-26 16:53:43.354,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711110,102LMLI,35.16666730244955,2022-12-26 16:53:45.937,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11714053,102LMLI,35.95000076293945,2022-12-26 16:53:49.826,23.0,p34::s75,34,75,,
11714032,102LMLI,33.27500057220459,2022-12-26 16:53:53.937,26.0,p32::s115::cBAGS,32,115,,BAGS
11727078,102LMLI,37.10000038146973,2022-12-26 16:53:58.430,19.0,p34::s75::kPLACE,34,75,PLACE,
11727096,102LMLI,38.82500076293945,2022-12-26 16:54:02.577,23.0,p34::s75,34,75,,
11711112,102LMLI,35.13333511352539,2022-12-26 16:54:02.599,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11714057,102LMLI,37.10000133514404,2022-12-26 16:54:13.335,23.0,p34::s75::cBULK,34,75,,BULK
11711113,102LMLI,34.875000953674316,2022-12-26 16:54:25.088,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727054,102LMLI,38.53333409627279,2022-12-26 16:54:33.595,,p34::cBULK,34,,,BULK
11711034,102LMLI,36.650001525878906,2022-12-26 16:54:38.445,70.0,p36::s115::k12/2 PBAG::cBAGS,36,115,12/2 PBAG,BAGS
11711114,102LMLI,35.03333409627279,2022-12-26 16:54:45.973,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11715073,102LMLI,46.625000953674316,2022-12-26 16:54:47.443,,p34::cBAGS,34,,,BAGS
11714002,102LMLI,35.333334604899086,2022-12-26 16:54:54.732,23.0,p34::s75,34,75,,
11714050,102LMLI,,2022-12-26 16:55:00.384,22.0,p34::s75::kPLACE,34,75,PLACE,
11712010,102LMLI,35.95000076293945,2022-12-26 16:56:58.283,31.0,p32::s115,32,115,,
11727029,102LMLI,,2022-12-26 16:57:01.499,38.0,p34::s95::kPLACE,34,95,PLACE,
11727038,102LMLI,32.125000953674316,2022-12-26 16:57:13.350,,p32::cBAGS,32,,,BAGS
11727111,102LMLI,36.05000114440918,2022-12-26 16:57:28.712,23.0,p34::s75,34,75,,
11727048,102LMLI,31.43333371480306,2022-12-26 16:57:32.634,38.0,p34::s95::kPLACE,34,95,PLACE,
11714049,102LMLI,37.82500076293945,2022-12-26 16:57:40.303,23.0,p34::s75,34,75,,
11727013,102LMLI,38.53333409627279,2022-12-26 16:57:41.114,,p32::cBAGS,32,,,BAGS
11711033,102LMLI,36.566667556762695,2022-12-26 16:57:42.000,70.0,p36::s115::k12/2 PBAG::cBAGS,36,115,12/2 PBAG,BAGS
11711115,102LMLI,34.82500076293945,2022-12-26 16:57:43.094,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727067,102LMLI,38.67500114440918,2022-12-26 16:57:44.139,22.0,p32::s75,32,75,,
11714077,102LMLI,39.42500114440918,2022-12-26 16:57:45.759,,p34,34,,,
11727075,102LMLI,40.03333409627279,2022-12-26 16:57:49.276,19.0,p34::s75::kPLACE,34,75,PLACE,
11727065,102LMLI,47.125000953674316,2022-12-26 16:57:50.902,19.0,p32::s75::cBAGS,32,75,,BAGS
11714079,102LMLI,39.94000015258789,2022-12-26 16:57:51.708,23.0,p34::s75,34,75,,
11711116,102LMLI,37.500000953674316,2022-12-26 16:57:56.067,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711111,102LMLI,37.60000038146973,2022-12-26 16:57:58.227,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711032,102LMLI,34.52000122070312,2022-12-26 16:58:06.652,70.0,p36::s115::k12/2 PBAG::cBAGS,36,115,12/2 PBAG,BAGS
11711117,102LMLI,35.07500076293945,2022-12-26 16:58:07.754,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711031,102LMLI,35.30000114440918,2022-12-26 16:58:10.146,70.0,p36::s115::cBAGS,36,115,,BAGS
11715018,102LMLI,32.93333435058594,2022-12-26 16:58:24.955,,p34::cBAGS,34,,,BAGS
11711118,102LMLI,35.32500076293945,2022-12-26 16:58:25.898,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711119,102LMLI,35.36666742960612,2022-12-26 16:58:26.978,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711120,102LMLI,35.19999980926514,2022-12-26 16:58:28.709,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11715071,102LMLI,32.6000010172526,2022-12-26 16:58:29.828,170.0,p34::s95::kPLACE,34,95,PLACE,
11727106,102LMLI,37.13333511352539,2022-12-26 16:58:31.033,19.0,p34::s75::kPLACE,34,75,PLACE,
11714056,102LMLI,38.00000152587891,2022-12-26 16:58:35.280,,p34,34,,,
11715067,102LMLI,34.63333384195963,2022-12-26 16:58:43.641,,p34,34,,,
11711126,102LMLI,35.32500076293945,2022-12-26 16:58:46.225,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
10551785,102LMLI,33.150001525878906,2022-12-26 16:58:49.643,,p34,34,,,
11711030,102LMLI,35.46666717529297,2022-12-26 16:58:53.624,70.0,p36::s115::cBAGS,36,115,,BAGS
11711125,102LMLI,35.65000057220459,2022-12-26 16:59:08.149,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727109,102LMLI,36.57499980926514,2022-12-26 16:59:22.973,,p34,34,,,
11711170,102LMLI,35.15000057220459,2022-12-26 16:59:29.953,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711171,102LMLI,37.480001068115236,2022-12-26 17:00:02.900,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711173,102LMLI,36.96666717529297,2022-12-26 17:00:53.799,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711029,102LMLI,36.20000076293945,2022-12-26 17:01:01.230,70.0,p36::s115::cBAGS,36,115,,BAGS
11727108,102LMLI,37.875000953674316,2022-12-26 17:01:02.495,,p34,34,,,
11711172,102LMLI,35.13333384195963,2022-12-26 17:01:16.585,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711051,102LMLI,35.35000038146973,2022-12-26 17:01:24.932,70.0,p36::s115::cBAGS,36,115,,BAGS
11715069,102LMLI,32.23333485921224,2022-12-26 17:01:30.607,38.0,p34::s95::kPLACE,34,95,PLACE,
11715072,102LMLI,31.3000005086263,2022-12-26 17:01:37.394,38.0,p34::s95::kPLACE,34,95,PLACE,
11727114,102LMLI,,2022-12-26 17:01:38.067,23.0,p34::s75,34,75,,
11727094,102LMLI,36.26666768391927,2022-12-26 17:02:30.089,,p34,34,,,
11711122,102LMLI,35.0,2022-12-26 17:02:33.854,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711121,102LMLI,35.20000076293945,2022-12-26 17:02:55.419,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711123,102LMLI,35.03333409627279,2022-12-26 17:03:17.828,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11714078,102LMLI,,2022-12-26 17:03:31.709,,p34,34,,,
11715075,102LMLI,37.77500057220459,2022-12-26 17:03:39.254,19.0,p34::s75::kPLACE,34,75,PLACE,
11727110,102LMLI,,2022-12-26 17:03:47.823,,p34,34,,,
11727059,102LMLI,38.42500019073486,2022-12-26 17:03:54.542,,p32,32,,,
11711124,102LMLI,35.150001525878906,2022-12-26 17:04:13.932,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11727115,102LMLI,,2022-12-26 17:04:25.868,22.0,p34::s75::kPLACE,34,75,PLACE,
11711127,102LMLI,35.300000508626304,2022-12-26 17:04:36.491,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711052,102LMLI,36.000000953674316,2022-12-26 17:04:44.054,70.0,p36::s115::k12/2 PBAG::cBAGS,36,115,12/2 PBAG,BAGS
11711128,102LMLI,35.06666692097982,2022-12-26 17:04:56.351,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711054,102LMLI,35.09999974568685,2022-12-26 17:05:06.585,70.0,p36::s115::k12/2 PBAG::cBAGS,36,115,12/2 PBAG,BAGS
11727009,102LMLI,37.300000508626304,2022-12-26 17:05:15.767,23.0,p32::s75::cBAGS,32,75,,BAGS
11711174,102LMLI,34.94000091552734,2022-12-26 17:05:26.273,73.0,p36::s140::k12/2 PBAG::cBAGS,36,140,12/2 PBAG,BAGS
11711055,102LMLI,35.375,2022-12-26 17:05:28.798,70.0,p36::s115::k12/2 PBAG::cBAGS,36,115,12/2 PBAG,BAGS
11727092,102LMLI,34.82500076293945,2022-12-26 17:05:48.998,,p34,34,,,
