ID,CheckpointID,LocationName,FarScanCheckpointID,ParentID,ParentLocationName,ParentRemoteID,ParentProcessIsEnabled,ParentProcessIsOnline,PluginClassName,RemoteID,IsVisible,DisplayName,Role,HasDebugInfo,RequireExplicitRouting,ProcessIsEnabled,ProcessIsOnline,ProcessIsRouteBlocked,RouteWeight,UISide,Size,OutletStatus
22,22,Lower Line 7,,187.0,"Pack Table South 2 - Outlets 7,8",,1.0,1.0,PackTable,lower.6,0,Line 7,PacktablesSouth,0,0,1,1,0,1.0,LHS,75,Unassigned
23,23,Lower Line 8,,187.0,"Pack Table South 2 - Outlets 7,8",,1.0,1.0,PackTable,lower.7,0,Line 8,PacktablesSouth,0,0,1,1,0,1.0,RHS,140,Unassigned
24,24,Lower Line 9,,162.0,"Pack Table North 3 - Outlets 9,10",,1.0,1.0,PackTable,lower.8,0,Line 9,PacktablesNorth,0,0,1,1,0,1.0,LHS,8,Disabled
25,25,Lower Line 10,,162.0,"Pack Table North 3 - Outlets 9,10",,1.0,1.0,PackTable,lower.9,0,Line 10,PacktablesNorth,0,0,1,1,0,1.0,RHS,8,Disabled
26,26,Lower Line 11,,188.0,"Pack Table South 3 - Outlets 11,12",,1.0,1.0,PackTable,lower.10,0,Line 11,PacktablesSouth,0,0,1,1,0,1.0,LHS,115,OK
27,27,Lower Line 12,,188.0,"Pack Table South 3 - Outlets 11,12",,1.0,1.0,PackTable,lower.11,0,Line 12,PacktablesSouth,0,0,1,1,0,1.0,RHS,63,OK
28,28,Lower Line 13,,163.0,"Pack Table North 4 - Outlets 13,14",,1.0,1.0,PackTable,lower.12,0,Line 13,PacktablesNorth,0,0,1,1,0,1.0,LHS,8,Disabled
29,29,Lower Line 14,,163.0,"Pack Table North 4 - Outlets 13,14",,1.0,1.0,PackTable,lower.13,0,Line 14,PacktablesNorth,0,0,1,1,0,1.0,RHS,7,Disabled
30,30,Lower Line 15,,189.0,"Pack Table South 4 - Outlets 15,16",,1.0,1.0,PackTable,lower.14,0,Line 15,PacktablesSouth,0,0,1,1,0,1.0,LHS,140,OK
31,31,Lower Line 16,,189.0,"Pack Table South 4 - Outlets 15,16",,1.0,1.0,PackTable,lower.15,0,Line 16,PacktablesSouth,0,0,1,1,0,1.0,RHS,115,OK
32,32,Lower Line 17,,164.0,"Pack Table North 5 - Outlets 17,18",,1.0,1.0,PackTable,lower.16,0,Line 17,PacktablesNorth,0,0,1,1,0,1.0,LHS,7,Disabled
33,33,Lower Line 18,,164.0,"Pack Table North 5 - Outlets 17,18",,1.0,1.0,PackTable,lower.17,0,Line 18,PacktablesNorth,0,0,1,1,0,1.0,RHS,7,Disabled
34,34,Lower Line 19,31.0,190.0,"Pack Table South 5 - Outlets 19,20",,1.0,1.0,PackTable,lower.18,0,Line 19,PacktablesSouth,0,0,1,1,0,1.0,LHS,140,OK
35,35,Lower Line 20,38.0,190.0,"Pack Table South 5 - Outlets 19,20",,1.0,1.0,PackTable,lower.19,0,Line 20,PacktablesSouth,0,0,1,1,0,1.0,RHS,200,OK
