_id,PK,Code,BlockID,CheckpointID,DateCreate,ProductComposite,ProductID,Size,Style,Content,OriginCheckpointID,PrintSize,FruitCount,CheckweigherResultAvg,DataMatrixExists,PTIExists,ProductName
63ab87dcb217eb880360ea08,361::2022::16186039,16186039,SPMASHDH,101,2022-12-28 00:03:25.742,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,33.0,8/28,28.0,19.900000381469727,True,False,Big Kahuna SLE
63ab87deb217eb880360ea1f,361::2022::abc354a8e2,None,SPMASHDH,209,2022-12-28 00:03:29.618,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab87e3b217eb880360ea49,361::2022::16186033,16186033,SPMASHDH,101,2022-12-28 00:03:33.763,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,33.0,8/28,28.0,19.733334223429363,True,False,Big Kahuna SLE
63ab87e4b217eb880360ea4c,361::2022::052bcf3e45,None,SPMASHDH,209,2022-12-28 00:03:36.154,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab87e8b217eb880360ea6d,361::2022::16184334,16184334,SPMASHDH,101,2022-12-28 00:03:39.403,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,24.0,8/28,28.0,17.575000286102295,True,False,Big Kahuna SLE
63ab87edb217eb880360ea97,361::2022::16186026,16186026,SPMASHDH,101,2022-12-28 00:03:43.697,p44::s6::k18# TRAY::cTRAY,44.0,6,18# TRAY,TRAY,33.0,6/22,22.0,18.533334096272785,True,False,Big Kahuna SLE
63ab87f0b217eb880360eaa6,361::2022::16184329,16184329,SPMASHDH,101,2022-12-28 00:03:45.884,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,24.0,8/28,28.0,18.560000610351562,True,False,Big Kahuna SLE
63ab87f4b217eb880360eac6,361::2022::74abccce81,None,SPMASHDH,209,2022-12-28 00:03:50.320,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab8809b217eb880360eb62,361::2022::e7decdd503,0,SPMASHDH,209,2022-12-28 00:04:11.308,p51::cBULK,51.0,,,BULK,,,,,True,False,Blue Tote
63ab880cb217eb880360eb82,361::2022::16188310,16188310,SPMASHDH,101,2022-12-28 00:04:14.963,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,17.000000476837158,True,False,Big Kahuna SLE
63ab880fb217eb880360eb8d,361::2022::12174606,12174606,SPMASHDH,101,2022-12-28 00:04:17.363,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,28.0,8/28,28.0,19.27500057220459,True,False,Big Kahuna SLE
63ab880fb217eb880360eb91,361::2022::f9c1510bb8,None,SPMASHDH,209,2022-12-28 00:04:18.775,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
63ab8814b217eb880360ebb9,361::2022::16188301,16188301,SPMASHDH,101,2022-12-28 00:04:21.524,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,17.03333346048991,True,False,Big Kahuna SLE
63ab8814b217eb880360ebbd,361::2022::16188292,16188292,SPMASHDH,101,2022-12-28 00:04:22.664,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,16.88000030517578,True,False,Big Kahuna SLE
63ab8815b217eb880360ebc4,361::2022::16184335,16184335,SPMASHDH,101,2022-12-28 00:04:24.302,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,24.0,8/28,28.0,16.0600004196167,True,False,Big Kahuna SLE
63ab881fb217eb880360ec03,361::2022::12174617,12174617,SPMASHDH,101,2022-12-28 00:04:32.485,p44::s7::k18# TRAY::cTRAY,44.0,7,18# TRAY,TRAY,29.0,7/25,25.0,18.425000190734863,True,False,Big Kahuna SLE
63ab8822b217eb880360ec1d,361::2022::16188303,16188303,SPMASHDH,101,2022-12-28 00:04:36.853,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,17.875000476837158,True,False,Big Kahuna SLE
63ab8827b217eb880360ec3d,361::2022::16188299,16188299,SPMASHDH,101,2022-12-28 00:04:41.037,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,36.0,8/28,28.0,17.050000190734863,True,False,Big Kahuna SLE
63ab882ab217eb880360ec59,361::2022::16188291,16188291,SPMASHDH,101,2022-12-28 00:04:44.888,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,17.25,True,False,Big Kahuna SLE
63ab882db217eb880360ec67,361::2022::16188305,16188305,SPMASHDH,101,2022-12-28 00:04:48.019,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,,8/28,28.0,17.52500057220459,True,False,Big Kahuna SLE
63ab8835b217eb880360ec9d,361::2022::12097052,12097052,SPMASHDH,101,2022-12-28 00:04:55.068,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,37.0,8/28,28.0,16.820000648498535,True,False,Big Kahuna SLE
63ab8837b217eb880360ecb0,361::2022::16184325,16184325,SPMASHDH,101,2022-12-28 00:04:56.721,p44::s8::k18# TRAY::cTRAY,44.0,8,18# TRAY,TRAY,24.0,8/28,28.0,19.100000381469727,True,False,Big Kahuna SLE
63ab883cb217eb880360ecd7,361::2022::98cc8571cb,None,SPMASHDH,209,2022-12-28 00:05:03.035,p51::cBULK,51.0,,,BULK,,,,,False,False,Blue Tote
